VCD info: dumpfile Noc.vcd opened for output.
Node1: Message: 4 Source: 2 Arrival_Time: 199
Node0: Message: 5 Destination: 8 Departure_Time: 201
Node2: Message: 6 Source: 4 Arrival_Time: 201
Node4: Message: 7 Source: 0 Arrival_Time: 202
Node7: Message: 8 Source: 7 Arrival_Time: 207
Node1: Message: 7 Destination: 3 Departure_Time: 215
Node1: Message: 9 Destination: 8 Departure_Time: 217
Node2: Message: 7 Source: 5 Arrival_Time: 218
Node5: Message: 10 Destination: 1 Departure_Time: 226
Node2: Message: 10 Destination: 5 Departure_Time: 230
Node6: Message: 10 Destination: 3 Departure_Time: 230
Node1: Message: 8 Destination: 8 Departure_Time: 232
Node5: Message: 9 Destination: 4 Departure_Time: 241
Node4: Message: 9 Destination: 1 Departure_Time: 241
Node8: Message: 6 Source: 7 Arrival_Time: 241
Node5: Message: 3 Source: 3 Arrival_Time: 242
Node2: Message: 11 Destination: 8 Departure_Time: 243
Node8: Message: 12 Destination: 1 Departure_Time: 244
Node7: Message: 6 Source: 2 Arrival_Time: 245
Node5: Message: 11 Destination: 2 Departure_Time: 247
Node3: Message: 10 Destination: 5 Departure_Time: 250
Node2: Message: 12 Destination: 4 Departure_Time: 252
Node8: Message: 1 Source: 0 Arrival_Time: 252
Node3: Message: 12 Destination: 7 Departure_Time: 256
Node6: Message: 12 Destination: 7 Departure_Time: 256
Node4: Message: 5 Source: 7 Arrival_Time: 256
Node6: Message: 5 Source: 3 Arrival_Time: 256
Node4: Message: 6 Source: 6 Arrival_Time: 257
Node7: Message: 13 Destination: 0 Departure_Time: 261
Node4: Message: 14 Destination: 0 Departure_Time: 262
Node7: Message: 14 Destination: 1 Departure_Time: 262
Node4: Message: 15 Destination: 0 Departure_Time: 267
Node7: Message: 16 Destination: 6 Departure_Time: 268
Node0: Message: 5 Source: 4 Arrival_Time: 268
Node3: Message: 15 Destination: 7 Departure_Time: 271
Node8: Message: 4 Source: 3 Arrival_Time: 271
Node4: Message: 8 Source: 8 Arrival_Time: 271
Node3: Message: 7 Source: 7 Arrival_Time: 274
Node1: Message: 10 Source: 4 Arrival_Time: 277
Node1: Message: 8 Source: 1 Arrival_Time: 283
